"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
215,BAJAJHLDNG,2018,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900318.pdf,215,,,False,False,0
216,BAJAJHLDNG,2017,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900317.pdf,216,,,False,False,0
217,BAJAJHLDNG,2016,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900316.pdf,217,,,False,False,0
218,BAJAJHLDNG,2015,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900315.pdf,218,,,False,False,0
219,BAJAJHLDNG,2014,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900314.pdf,219,,,False,False,0
220,BAJAJHLDNG,2013,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900313.pdf,220,,,False,False,0
221,BAJAJHLDNG,2012,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900312.pdf,221,,,False,False,0
222,BAJAJHLDNG,2011,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900311.pdf,222,,,False,False,0
223,BAJAJHLDNG,2010,Null,223,,,False,False,0
224,BAJAJHLDNG,2009,Null,224,,,False,False,0
225,BAJFINANCE,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/23ae9a75-9bfa-49c2-89e4-5e1ee7a20f8c.pdf,225,,,False,False,0
226,BAJFINANCE,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//46404117-5ed9-40e3-9891-2953ee625245.pdf,226,,,False,False,0
227,BAJFINANCE,2022,https://www.bseindia.com/bseplus/AnnualReport/500034/73448500034.pdf,227,,,False,False,0
228,BAJFINANCE,2021,https://www.bseindia.com/bseplus/AnnualReport/500034/68650500034.pdf,228,,,False,False,0
229,BAJFINANCE,2020,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340320.pdf,229,,,False,False,0
230,BAJFINANCE,2019,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340319.pdf,230,,,False,False,0
231,BAJFINANCE,2018,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340318.pdf,231,,,False,False,0
232,BAJFINANCE,2017,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340317.pdf,232,,,False,False,0
233,BAJFINANCE,2016,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340316.pdf,233,,,False,False,0
234,BAJFINANCE,2015,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340315.pdf,234,,,False,False,0
235,BAJFINANCE,2014,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340314.pdf,235,,,False,False,0
