id,company_id,year,annual_report
528,GODREJCP,2009,
529,GRASIM,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/75634dc7-b3e7-4ad8-8a6e-9fdb0197c4af.pdf
530,GRASIM,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//b2b3b44f-8a97-4b59-9781-b4cbf1b4c25d.pdf
531,GRASIM,2022,https://www.bseindia.com/bseplus/AnnualReport/500300/74157500300.pdf
532,GRASIM,2021,https://www.bseindia.com/bseplus/AnnualReport/500300/69239500300.pdf
533,GRASIM,2020,https://www.bseindia.com/bseplus/AnnualReport/500300/64913500300.pdf
534,GRASIM,2019,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000319.pdf
535,GRASIM,2018,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000318.pdf
536,GRASIM,2017,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000317.pdf
537,GRASIM,2016,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000316.pdf
538,GRASIM,2015,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000315.pdf
539,GRASIM,2014,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000314.pdf
540,GRASIM,2013,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000313.pdf
541,GRASIM,2012,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000312.pdf
542,GRASIM,2011,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000311.pdf
543,GRASIM,2010,
544,GRASIM,2009,
545,HAL,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7e7c2a0a-f366-4aff-8d47-0818d45fae58.pdf
546,HAL,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//89b72e9c-4ab7-474f-bbbc-6238b2a832ce.pdf
547,HAL,2022,https://www.bseindia.com/bseplus/AnnualReport/541154/74651541154.pdf
548,HAL,2021,https://www.bseindia.com/bseplus/AnnualReport/541154/71409541154.pdf
549,HAL,2020,https://www.bseindia.com/bseplus/AnnualReport/541154/65527541154.pdf
550,HAL,2019,https://www.bseindia.com/bseplus/AnnualReport/541154/5411540319.pdf
551,HAL,2018,https://www.bseindia.com/bseplus/AnnualReport/541154/5411540318.pdf
552,HAL,2017,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2017.PDF
